"","budget","revenue","title","overview","popularity","vote_count","release_date","status"
"1",0,0,"We Have Always Lived in the Castle","An isolated family, having already lost four members to poisoning, uses rituals and talismans to keep itself away from hostile townspeople.",1.796189,0,"2018-12-31","Post Production"
"2",0,0,"The Tree of Blood","Young couple Marc and Rebeca travel to an old country house that used to belong to their family: once there, they will write the shared history of their roots, creating a huge family tree that harbours relationships of love, heartbreak, sex, madness, jealousy and infidelity… and under which also lies a history laden with secrets.",0.194558,0,"2018-12-31","Post Production"
"3",0,0,"Green River: Part Three","Theresa, a grief counsellor, struggles to cope with the trauma this serial killer is inflicting on her community. With her marriage and sanity at stake, she takes matters into her own hands, determined to bring closure to this nightmare.",0.101768,0,"2018-12-31","Planned"
"4",0,0,"M","M is a work of art that explores the relationship between sexuality and death. These two appear to be at opposite poles, but in fact they merge in all of us, disguising the fear of death or the desire to die, the world of Eros. In M the character of Marilyn Monroe should be seen as a symbol of this interpenetration. The actress´s death is as famous as her sexuality and thus sets a perfect example of how the ancient bond between sex and death is being forever mystified and exploited by the popular culture. M attempts to explore this phenomenon in a much more personal level.",0.175846,0,"2018-09-20","Released"
"5",0,0,"The Little Stranger","In a dusty post-war summer in rural Warwickshire, a doctor is called to a patient at lonely Hundreds Hall. Home to the Ayres family for over two centuries, the Georgian house is now in decline. But are the Ayreses haunted by something more sinister than a dying way of life?",2.180492,0,"2018-08-31","Post Production"
"6",0,0,"Pacific Angels","Ethan, a film student in the Pacific Northwest, finds himself reflecting on his family estrangement when he takes an active interest in conspiracy theories.",2.00543,0,"2018-06-06","Released"
"7",500,0,"To Learn Fear","After finding a video camera containing mysterious footage, two friends try to discover the fate of its owners.",6.682393,0,"2018-05-25","Post Production"
"8",5000,0,"Neapolitan","In 2002, an introverted young man falls in love on a beta-test dating site only for the young woman to abruptly stop talking to him. He sets to find out why.",0,0,"","Released"
"9",0,0,"Burning","Deliveryman Jongsu is out on a job when he runs into Haemi, a girl who once lived in his neighborhood. She asks if he'd mind looking after her cat while she's away on a trip to Africa. On her return she introduces to Jongsu an enigmatic young man named Ben, who she met during her trip. And one day Ben tells Jongsu about his most unusual hobby...",2.387132,1,"2018-05-17","Released"
"10",13000000,0,"Long Day's Journey into Night","Luo Hongwu returns to Kaili, the hometown from which he fled many years ago. He begins the search for the woman he loved, and whom he has never been able to forget.",3.210501,2,"2018-05-15","Post Production"
"11",8500000,0,"Under the Silver Lake","Young and disenchanted Sam meets a mysterious and beautiful woman who's swimming in his building's pool one night. When she suddenly vanishes the next morning, Sam embarks on a surreal quest across Los Angeles to decode the secret behind her disappearance, leading him into the murkiest depths of mystery, scandal and conspiracy.",2.720317,2,"2018-06-22","Released"
"12",150,0,"Bro Night","Bro Night follows the story of three bros who during their weekly Bro Night get a mysterious phone call that will change their lives forever.",1.554693,2,"2018-04-20","Post Production"
